Cancela/2024-04-21/08:51:38pm/Aberto,
Cancela/2024-04-21/08:51:38pm/Fechado,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:48am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:49am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:50am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:51am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:52am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:53am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:54am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:55am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:56am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
cancela | Data: 2024-06-14 12:00:57am Estado:0.00,
